slope,rainfall_7days,elevation,distance_to_road,landslide
36.4,411.4,1264.0,708.0,0
21.7,443.3,1760.0,433.0,0
12.0,121.8,1476.0,448.0,0
44.7,113.9,329.0,653.0,0
36.0,309.4,1815.0,937.0,0
31.7,211.4,226.0,73.0,1
49.7,421.5,1115.0,826.0,1
44.4,451.0,370.0,299.0,1
12.6,183.2,122.0,449.0,0
20.6,126.1,902.0,32.0,0
17.4,392.5,661.0,308.0,0
42.2,144.7,1023.0,508.0,0
6.7,413.1,1197.0,66.0,0
33.5,217.6,183.0,496.0,1
43.1,337.1,334.0,928.0,1
48.8,56.8,1161.0,114.0,0
22.1,315.7,752.0,767.0,0
46.1,231.4,1485.0,416.0,1
10.5,297.4,1339.0,659.0,1
47.3,92.3,1707.0,268.0,0
11.4,371.1,1416.0,168.0,0
24.9,432.8,917.0,169.0,0
44.9,116.2,1379.0,80.0,0
12.5,56.9,623.0,194.0,1
16.5,21.6,682.0,668.0,0
41.1,324.6,1599.0,883.0,1
41.0,307.5,948.0,816.0,1
37.1,277.9,1617.0,688.0,1
39.7,123.7,1663.0,119.0,0
32.1,201.5,1729.0,296.0,1
17.6,301.3,1842.0,317.0,0
22.3,253.4,919.0,257.0,0
14.1,494.0,706.0,520.0,0
50.4,76.9,1206.0,540.0,1
34.2,350.6,805.0,363.0,1
25.0,208.1,1242.0,360.0,0
28.1,219.8,1441.0,830.0,0
52.4,361.6,1408.0,791.0,1
12.7,349.3,812.0,315.0,0
34.3,495.7,417.0,915.0,1
30.3,72.9,918.0,953.0,0
35.6,61.0,371.0,333.0,0
5.9,364.9,1791.0,361.0,0
48.6,293.4,757.0,511.0,1
51.6,144.3,393.0,942.0,0
33.3,48.9,148.0,878.0,0
39.8,52.0,1327.0,112.0,0
51.1,448.2,1310.0,399.0,1
